iter	Passed	Remaining
0	56	5595
1	56	2784
2	57	1846
3	57	1375
4	57	1094
5	57	907
6	58	773
7	58	672
8	58	594
9	59	531
10	59	480
11	59	437
12	59	401
13	60	370
14	60	342
15	60	319
16	61	298
17	61	279
18	61	262
19	61	247
20	62	234
21	62	221
22	62	210
23	63	199
24	63	190
25	63	181
26	64	173
27	64	165
28	64	158
29	64	151
30	65	145
31	65	139
32	65	133
33	66	128
34	66	123
35	66	118
36	66	114
37	67	109
38	67	105
39	67	101
40	68	97
41	68	94
42	68	90
43	68	87
44	68	84
45	69	81
46	69	78
47	69	75
48	69	72
49	70	70
50	70	67
51	70	65
52	70	62
53	71	60
54	71	58
55	71	56
56	71	54
57	71	52
58	72	50
59	72	48
60	72	46
61	73	44
62	73	43
63	73	41
64	73	39
65	74	38
66	74	36
67	74	35
68	74	33
69	75	32
70	75	30
71	75	29
72	75	28
73	76	26
74	76	25
75	76	24
76	76	22
77	77	21
78	77	20
79	77	19
80	77	18
81	78	17
82	78	16
83	78	14
84	78	13
85	79	12
86	79	11
87	79	10
88	79	9
89	79	8
90	80	7
91	80	6
92	80	6
93	80	5
94	81	4
95	81	3
96	81	2
97	81	1
98	81	0
99	82	0
