iter	Passed	Remaining
0	72	72688
1	73	36481
2	73	24380
3	73	18350
4	73	14719
5	74	12302
6	74	10574
7	74	9272
8	75	8271
9	75	7461
10	75	6799
11	75	6247
12	76	5779
13	76	5378
14	76	5030
15	76	4726
16	77	4458
17	77	4219
18	77	4004
19	77	3814
20	78	3640
21	78	3481
22	78	3337
23	78	3205
24	79	3083
25	79	2970
26	79	2865
27	79	2769
28	80	2679
29	80	2596
30	80	2519
31	80	2445
32	81	2375
33	81	2309
34	81	2248
35	81	2192
36	82	2137
37	82	2085
38	82	2035
39	82	1988
40	83	1942
41	83	1900
42	83	1859
43	83	1819
44	83	1782
45	84	1746
46	84	1712
47	84	1681
48	85	1655
49	85	1625
50	85	1600
51	86	1573
52	86	1547
53	86	1521
54	87	1496
55	87	1472
56	87	1448
57	87	1426
58	88	1404
59	88	1385
60	88	1365
61	88	1345
62	89	1325
63	89	1308
64	89	1290
65	89	1272
66	90	1255
67	90	1239
68	90	1223
69	90	1208
70	91	1193
71	91	1178
72	91	1164
73	91	1150
74	92	1137
75	92	1123
76	92	1110
77	92	1098
78	93	1085
79	93	1073
80	93	1061
81	93	1050
82	93	1037
83	94	1026
84	94	1015
85	94	1006
86	94	996
87	95	985
88	95	975
89	95	966
90	95	957
91	96	948
92	96	939
93	96	930
94	96	921
95	97	913
96	97	905
97	97	897
98	97	890
99	98	882
100	98	874
101	98	867
102	98	860
103	99	853
104	99	846
105	99	839
106	99	833
107	100	829
108	100	824
109	101	817
110	101	811
111	101	805
112	101	799
113	102	793
114	102	787
115	102	781
116	102	775
117	102	769
118	103	764
119	103	759
120	103	754
121	104	748
122	104	743
123	104	738
124	104	733
125	104	728
126	105	722
127	105	718
128	105	713
129	105	709
130	106	704
131	106	699
132	106	694
133	106	690
134	107	686
135	107	682
136	107	677
137	107	673
138	108	669
139	108	666
140	108	662
141	108	657
142	108	653
143	109	649
144	109	645
145	109	641
146	109	637
147	110	634
148	110	630
149	110	627
150	110	623
151	111	620
152	111	616
153	111	613
154	111	609
155	112	606
156	112	602
157	112	599
158	112	596
159	113	593
160	113	589
161	113	586
162	113	583
163	113	580
164	114	577
165	114	574
166	114	571
167	114	568
168	115	565
169	115	562
170	115	559
171	116	559
172	116	557
173	116	555
174	117	552
175	117	549
176	117	547
177	117	544
178	118	541
179	118	539
180	118	536
181	118	534
182	119	531
183	119	529
184	119	526
185	119	524
186	120	522
187	120	519
188	120	517
189	120	514
190	120	512
191	121	510
192	121	507
193	121	505
194	121	502
195	122	500
196	122	498
197	122	496
198	122	494
199	123	492
200	123	490
201	123	488
202	123	486
203	124	484
204	124	481
205	124	479
206	124	477
207	124	475
208	125	473
209	125	471
210	125	470
211	125	468
212	126	466
213	126	464
214	126	462
215	127	461
216	127	459
217	127	457
218	127	455
219	127	453
220	128	451
221	128	450
222	128	448
223	128	446
224	129	444
225	129	442
226	129	441
227	129	439
228	130	437
229	130	436
230	130	434
231	130	432
232	131	431
233	131	430
234	132	430
235	132	428
236	132	427
237	132	425
238	133	424
239	133	422
240	133	421
241	134	419
242	134	418
243	134	416
244	134	415
245	135	414
246	135	412
247	135	411
248	135	410
249	136	408
250	136	407
251	136	406
252	137	404
253	137	403
254	137	401
255	137	400
256	138	399
257	138	397
258	138	396
259	138	395
260	139	393
261	139	392
262	139	391
263	139	389
264	140	388
265	140	387
266	140	386
267	140	385
268	141	383
269	141	382
270	141	381
271	142	380
272	142	379
273	142	377
274	142	376
275	143	375
276	143	374
277	143	373
278	144	372
279	144	371
280	144	370
281	145	369
282	145	368
283	145	367
284	145	365
285	146	364
286	146	363
287	146	362
288	146	361
289	147	360
290	147	359
291	147	357
292	147	356
293	148	355
294	148	354
295	148	353
296	148	352
297	148	350
298	149	349
299	149	348
300	149	347
301	149	346
302	150	345
303	150	344
304	150	342
305	150	341
306	150	340
307	151	339
308	151	338
309	151	337
310	151	336
311	151	335
312	152	334
313	152	333
314	152	331
315	152	330
316	153	329
317	153	328
318	153	327
319	153	326
320	153	325
321	154	324
322	154	323
323	154	322
324	154	321
325	154	320
326	155	319
327	155	318
328	155	317
329	155	316
330	156	315
331	156	314
332	156	313
333	156	312
334	156	311
335	157	310
336	157	309
337	157	308
338	157	307
339	158	307
340	158	306
341	159	306
342	159	306
343	160	305
344	160	304
345	160	303
346	160	302
347	161	301
348	161	300
349	161	299
350	161	299
351	162	298
352	162	297
353	162	296
354	162	295
355	162	294
356	163	293
357	163	292
358	163	292
359	163	291
360	164	290
361	164	289
362	164	288
363	164	288
364	165	287
365	165	286
366	165	285
367	166	285
368	166	284
369	166	283
370	166	282
371	166	281
372	167	281
373	167	280
374	167	279
375	168	278
376	168	278
377	168	277
378	168	276
379	169	275
380	169	275
381	169	274
382	169	273
383	170	272
384	170	271
385	170	271
386	170	270
387	170	269
388	171	268
389	171	268
390	171	267
391	171	266
392	172	265
393	172	265
394	172	264
395	173	264
396	173	263
397	173	262
398	173	262
399	174	261
400	174	260
401	174	260
402	175	259
403	175	258
404	175	258
405	175	257
406	176	256
407	176	255
408	176	255
409	177	254
410	177	254
411	177	253
412	177	252
413	177	251
414	178	251
415	178	250
416	178	249
417	178	249
418	179	248
419	179	247
420	179	247
421	180	246
422	180	246
423	180	245
424	180	244
425	181	244
426	181	243
427	181	242
428	182	242
429	182	241
430	182	241
431	182	240
432	183	240
433	183	239
434	183	238
435	184	238
436	184	237
437	184	237
438	185	236
439	185	236
440	185	235
441	185	234
442	186	234
443	186	233
444	186	232
445	187	232
446	187	231
447	188	231
448	188	231
449	188	230
450	189	230
451	189	229
452	189	229
453	190	228
454	190	228
455	191	227
456	191	227
457	191	226
458	191	226
459	192	225
460	192	224
461	192	224
462	192	223
463	193	223
464	193	222
465	193	221
466	194	221
467	194	220
468	194	220
469	194	219
470	195	219
471	195	218
472	195	218
473	196	217
474	196	217
475	196	216
476	197	216
477	197	215
478	197	215
479	198	214
480	198	213
481	198	213
482	198	212
483	199	212
484	199	211
485	199	211
486	199	210
487	200	209
488	200	209
489	200	208
490	200	208
491	201	207
492	201	206
493	201	206
494	201	205
495	201	205
496	202	204
497	202	204
498	202	203
499	202	202
500	203	202
501	203	202
502	204	201
503	205	201
504	205	201
505	205	200
506	206	200
507	206	199
508	206	199
509	206	198
510	207	198
511	207	197
512	207	197
513	207	196
514	208	195
515	208	195
516	208	194
517	208	194
518	209	193
519	209	193
520	209	192
521	209	192
522	210	191
523	210	191
524	210	190
525	210	190
526	211	189
527	211	188
528	211	188
529	211	187
530	211	187
531	212	186
532	212	186
533	212	185
534	212	185
535	213	184
536	213	183
537	213	183
538	213	182
539	214	182
540	214	181
541	214	181
542	214	180
543	215	180
544	215	179
545	215	179
546	215	178
547	215	178
548	216	177
549	216	177
550	216	176
551	216	175
552	217	175
553	217	174
554	217	174
555	217	173
556	217	173
557	218	172
558	218	172
559	218	171
560	218	171
561	219	170
562	219	170
563	219	169
564	220	169
565	220	169
566	220	168
567	220	168
568	221	167
569	221	167
570	221	166
571	221	165
572	222	165
573	222	165
574	222	164
575	222	164
576	223	163
577	223	163
578	223	162
579	223	162
580	224	161
581	224	161
582	224	160
583	224	160
584	225	159
585	225	159
586	225	158
587	225	158
588	226	157
589	226	157
590	226	156
591	226	156
592	227	155
593	227	155
594	227	154
595	227	154
596	228	154
597	228	153
598	228	153
599	228	152
600	229	152
601	229	151
602	229	151
603	229	150
604	230	150
605	230	149
606	230	149
607	230	148
608	231	148
609	231	147
610	231	147
611	231	146
612	231	146
613	232	145
614	232	145
615	232	145
616	232	144
617	233	144
618	233	143
619	233	143
620	233	142
621	234	142
622	234	142
623	235	141
624	235	141
625	235	140
626	235	140
627	236	139
628	236	139
629	236	139
630	237	138
631	237	138
632	237	137
633	237	137
634	238	136
635	238	136
636	238	135
637	238	135
638	239	135
639	239	134
640	239	134
641	239	133
642	240	133
643	240	132
644	240	132
645	241	132
646	241	131
647	241	131
648	241	130
649	242	130
650	242	129
651	242	129
652	242	129
653	243	128
654	243	128
655	243	127
656	243	127
657	243	126
658	244	126
659	244	125
660	244	125
661	244	125
662	245	124
663	245	124
664	245	123
665	245	123
666	246	122
667	246	122
668	246	121
669	246	121
670	246	121
671	247	120
672	247	120
673	247	119
674	247	119
675	248	118
676	248	118
677	248	118
678	248	117
679	249	117
680	249	116
681	250	116
682	250	116
683	250	115
684	251	115
685	251	115
686	251	114
687	251	114
688	252	113
689	252	113
690	252	113
691	252	112
692	253	112
693	253	111
694	253	111
695	253	110
696	254	110
697	254	110
698	254	109
699	255	109
700	255	108
701	255	108
702	255	108
703	256	107
704	256	107
705	256	106
706	256	106
707	257	106
708	257	105
709	257	105
710	257	104
711	258	104
712	258	103
713	258	103
714	258	103
715	259	102
716	259	102
717	259	101
718	259	101
719	260	101
720	260	100
721	261	100
722	261	100
723	261	99
724	261	99
725	262	98
726	262	98
727	262	98
728	262	97
729	263	97
730	263	96
731	263	96
732	263	96
733	264	95
734	264	95
735	264	94
736	265	94
737	266	94
738	266	94
739	267	93
740	267	93
741	268	93
742	268	92
743	268	92
744	269	92
745	269	91
746	270	91
747	270	91
748	270	90
749	270	90
750	271	89
751	271	89
752	272	89
753	272	88
754	272	88
755	272	88
756	272	87
757	273	87
758	273	86
759	273	86
760	273	85
761	273	85
762	274	85
763	274	84
764	274	84
765	274	83
766	275	83
767	275	83
768	275	82
769	275	82
770	275	81
771	276	81
772	276	81
773	276	80
774	276	80
775	277	79
776	277	79
777	277	79
778	277	78
779	278	78
780	278	78
781	278	77
782	278	77
783	279	76
784	279	76
785	280	76
786	280	75
787	280	75
788	281	75
789	281	74
790	281	74
791	282	74
792	282	73
793	282	73
794	283	73
795	283	72
796	283	72
797	283	71
798	284	71
799	284	71
800	284	70
801	285	70
802	285	69
803	285	69
804	285	69
805	286	68
806	286	68
807	286	68
808	286	67
809	287	67
810	287	66
811	287	66
812	287	66
813	288	65
814	288	65
815	288	65
816	288	64
817	289	64
818	289	63
819	289	63
820	289	63
821	290	62
822	290	62
823	290	62
824	290	61
825	291	61
826	291	60
827	291	60
828	291	60
829	291	59
830	292	59
831	292	59
832	292	58
833	292	58
834	293	57
835	293	57
836	293	57
837	293	56
838	294	56
839	294	56
840	294	55
841	294	55
842	294	54
843	295	54
844	295	54
845	296	53
846	296	53
847	296	53
848	297	52
849	297	52
850	297	52
851	297	51
852	298	51
853	298	51
854	298	50
855	298	50
856	299	49
857	299	49
858	299	49
859	299	48
860	300	48
861	300	48
862	300	47
863	300	47
864	301	47
865	301	46
866	301	46
867	301	45
868	302	45
869	302	45
870	302	44
871	302	44
872	303	44
873	303	43
874	303	43
875	303	43
876	304	42
877	304	42
878	304	41
879	304	41
880	305	41
881	305	40
882	305	40
883	305	40
884	305	39
885	306	39
886	306	39
887	306	38
888	306	38
889	307	37
890	307	37
891	307	37
892	307	36
893	308	36
894	308	36
895	308	35
896	308	35
897	308	35
898	309	34
899	309	34
900	309	34
901	309	33
902	310	33
903	310	32
904	310	32
905	311	32
906	311	31
907	311	31
908	311	31
909	312	30
910	312	30
911	312	30
912	313	29
913	313	29
914	313	29
915	313	28
916	314	28
917	314	28
918	314	27
919	314	27
920	315	27
921	315	26
922	315	26
923	315	25
924	316	25
925	316	25
926	316	24
927	316	24
928	316	24
929	317	23
930	317	23
931	317	23
932	317	22
933	318	22
934	318	22
935	318	21
936	318	21
937	318	21
938	319	20
939	319	20
940	319	20
941	319	19
942	320	19
943	320	18
944	320	18
945	320	18
946	320	17
947	321	17
948	321	17
949	321	16
950	322	16
951	322	16
952	322	15
953	322	15
954	323	15
955	323	14
956	323	14
957	323	14
958	324	13
959	324	13
960	324	13
961	324	12
962	325	12
963	325	12
964	325	11
965	326	11
966	326	11
967	326	10
968	327	10
969	327	10
970	327	9
971	328	9
972	328	9
973	328	8
974	328	8
975	329	8
976	329	7
977	329	7
978	329	7
979	330	6
980	330	6
981	330	6
982	330	5
983	331	5
984	331	5
985	331	4
986	331	4
987	332	4
988	332	3
989	332	3
990	332	3
991	332	2
992	333	2
993	333	2
994	333	1
995	333	1
996	334	1
997	334	0
998	334	0
999	334	0
